sex,age,typtrai,wstatus,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
M,Y15-29,NO_FED_NFE,NEMP,PC,NO	21.8 	21.5 	21.8 	10.0 b	8.8 	8.0 	5.0 b	4.5 	4.6 	5.7 	6.7 	5.9 	5.8 	6.5 	6.5 	6.7 	7.1 	5.8 
M,Y15-29,NO_FED_NFE,NEMP,PC,PL	: 	17.0 b	18.8 	18.7 b	17.0 b	15.5 	13.7 	11.0 	8.8 b	10.7 	12.3 b	12.3 	12.8 	13.4 b	13.1 	12.6 	10.7 	8.9 
M,Y15-29,NO_FED_NFE,NEMP,PC,PT	6.9 b	7.5 	8.8 b	10.4 	10.1 b	10.3 	9.9 b	10.0 	9.2 	11.0 	11.6 	12.9 b	15.5 	16.0 	14.0 	12.1 	12.4 	10.4 
M,Y15-29,NO_FED_NFE,NEMP,PC,RO	18.3 	17.0 	20.3 b	19.6 b	18.3 	14.5 	13.0 b	11.0 	8.9 	11.5 	14.7 b	16.7 	16.3 	16.2 	16.5 	16.1 	15.2 	13.2 
M,Y15-29,NO_FED_NFE,NEMP,PC,SE	6.2 u	6.5 b	6.7 	7.0 b	7.8 	10.3 b	9.1 b	7.1 b	7.2 b	9.6 	7.7 	7.4 	7.9 	7.5 	7.5 	7.2 	6.8 	6.3 
M,Y15-29,NO_FED_NFE,NEMP,PC,SI	: 	9.5 	9.7 	8.3 b	7.0 	8.8 	8.4 b	6.9 	6.6 	8.8 	8.9 	9.4 	10.9 	11.7 	11.2 	11.7 	10.6 	8.0 
M,Y15-29,NO_FED_NFE,NEMP,PC,SK	: 	: 	23.3 	18.2 b	17.2 	15.1 	13.0 b	11.5 	10.5 	13.2 	16.2 	16.0 b	15.5 	16.2 	14.9 	13.2 	11.1 	10.7 
M,Y15-29,NO_FED_NFE,NEMP,PC,TR	: 	: 	: 	: 	: 	: 	20.9 b	21.2 	20.4 	21.3 	18.7 	16.4 	16.6 	14.8 	14.6 b	14.2 	14.8 	14.6 
M,Y15-29,NO_FED_NFE,NEMP,PC,UK	8.6 	9.1 	9.1 	7.2 b	6.9 	6.8 	7.0 	9.7 b	9.8 b	12.0 	11.9 	12.7 	12.3 	11.9 	10.5 	9.8 	9.8 	9.6 
T,Y15-29,NO_FED_NFE,NEMP,PC,AT	9.6 	9.3 	8.0 	7.5 	10.3 b	10.1 	9.6 b	9.4 b	8.9 	9.6 	9.1 	8.5 	8.2 	8.6 	9.3 	8.7 	8.9 	8.4 
T,Y15-29,NO_FED_NFE,NEMP,PC,BE	17.2 	16.5 b	16.4 	18.0 	16.3 b	14.0 	12.9 b	13.0 	12.0 	12.8 	13.0 	13.8 b	14.4 	14.9 	14.1 	14.4 	13.0 	12.6 b
T,Y15-29,NO_FED_NFE,NEMP,PC,BG	: 	32.8 	31.0 	30.6 b	28.7 	26.8 	23.9 b	20.3 	18.5 b	20.8 	23.5 b	24.7 	24.7 	25.7 	24.0 	22.2 	22.4 	18.9 
T,Y15-29,NO_FED_NFE,NEMP,PC,CH	7.4 	6.5 	7.2 	8.7 b	7.6 	7.8 	8.0 	7.1 	6.9 	8.8 	8.1 b	8.0 	7.7 	8.0 	7.7 	7.3 	7.5 	7.2 
T,Y15-29,NO_FED_NFE,NEMP,PC,CY	11.8 	9.9 	9.5 	11.1 b	10.2 	17.9 	11.9 b	10.3 	10.9 	11.5 b	12.9 	14.8 	17.3 	20.4 	19.5 	18.5 	18.0 	17.5 
T,Y15-29,NO_FED_NFE,NEMP,PC,CZ	: 	: 	16.5 	17.5 b	17.7 	16.9 	13.7 b	11.6 	10.7 	12.7 	12.9 	12.1 b	12.9 	12.8 b	12.1 	11.8 	11.1 	10.0 
T,Y15-29,NO_FED_NFE,NEMP,PC,DE	10.3 	10.2 	10.9 	12.6 b	12.9 	13.8 b	12.7 	11.6 	11.0 b	11.4 	10.8 b	9.7 b	9.3 	8.7 	8.7 	8.5 	8.9 	8.5 
T,Y15-29,NO_FED_NFE,NEMP,PC,DK	6.1 	6.7 	6.6 	6.8 b	6.4 	5.9 	4.7 	5.3 b	5.0 	6.5 	7.3 	7.6 	8.2 	7.5 	7.3 	7.7 	7.4 b	9.1 
T,Y15-29,NO_FED_NFE,NEMP,PC,EA18	14.7 	14.2 	14.3 	14.4 b	14.4 	14.4 	13.5 b	13.0 	13.2 	15.0 	15.3 	15.3 	15.9 	16.0 	15.7 	15.2 	14.6 	13.9 
T,Y15-29,NO_FED_NFE,NEMP,PC,EA19	14.8 	14.3 	14.3 	14.4 b	14.4 	14.4 	13.5 b	13.0 	13.2 	15.0 	15.3 	15.3 	15.9 	16.0 	15.7 	15.2 	14.5 	13.9 
T,Y15-29,NO_FED_NFE,NEMP,PC,EE	18.2 	17.9 	15.0 	14.2 b	15.4 	13.5 	10.8 	11.6 	11.4 	18.3 b	18.1 	14.7 	15.1 	14.3 	13.8 	12.5 	13.8 	11.0 
T,Y15-29,NO_FED_NFE,NEMP,PC,EL	20.8 	20.0 b	19.1 	20.4 b	19.7 b	18.5 	15.5 b	15.2 	14.8 b	15.9 b	18.6 	23.0 	26.8 	28.5 	26.7 	24.1 	22.2 	21.3 
T,Y15-29,NO_FED_NFE,NEMP,PC,ES	15.4 	14.9 b	15.2 	14.8 b	14.4 	14.0 b	12.9 b	12.8 	15.3 	19.9 	20.0 	20.6 	22.2 	22.5 	20.7 b	19.4 	18.1 	16.4 
T,Y15-29,NO_FED_NFE,NEMP,PC,EU27	15.6 	15.2 	15.5 	15.5 b	15.2 	15.0 	14.0 b	13.2 	13.0 	14.7 	15.2 	15.4 	15.8 	15.8 	15.3 	14.8 	14.2 	13.4 
T,Y15-29,NO_FED_NFE,NEMP,PC,EU28	: 	: 	15.6 	15.5 b	15.3 	15.0 	14.0 b	13.2 	13.0 	14.7 	15.2 	15.4 	15.9 	15.9 	15.4 	14.8 	14.2 	13.4 
T,Y15-29,NO_FED_NFE,NEMP,PC,FI	11.8 	10.5 	10.2 	10.6 b	10.7 	9.5 	9.4 	8.4 	8.9 	11.3 	10.5 	10.0 	10.4 	10.9 	11.8 	12.4 	11.7 	10.9 
T,Y15-29,NO_FED_NFE,NEMP,PC,FR	13.4 	12.9 	13.2 	12.8 b	13.1 	13.2 	13.2 	12.8 	12.6 	14.7 	14.8 	14.7 	15.1 	13.8 b	14.2 b	14.7 	14.4 	13.9 
T,Y15-29,NO_FED_NFE,NEMP,PC,HR	: 	: 	21.7 	20.3 b	19.2 	17.9 b	15.8 b	14.5 	13.0 	14.9 	17.6 	19.1 	19.7 	22.3 	21.8 	19.9 	19.5 	17.9 
T,Y15-29,NO_FED_NFE,NEMP,PC,HU	19.1 	18.5 b	18.3 	17.2 b	16.9 	17.1 	16.5 b	15.7 	15.9 	17.9 	17.7 	17.6 	18.7 	18.4 	16.4 	15.1 b	14.1 	13.3 
